Date,Open,High,Low,Close
4/09/2021,0.10%,0.08%,0.10%,0.10%
4/02/2021,0.10%,0.08%,0.10%,0.10%
03/26/2021,0.10%,0.09%,0.10%,0.10%
03/19/2021,0.10%,0.10%,0.10%,0.10%
3/12/2021,0.10%,0.09%,0.10%,0.10%
3/05/2021,0.10%,0.10%,0.11%,0.10%
02/26/2021,0.10%,0.09%,0.10%,0.10%
02/19/2021,0.10%,0.10%,0.11%,0.10%
2/12/2021,0.10%,0.09%,0.11%,0.10%
2/05/2021,0.09%,0.09%,0.11%,0.10%
01/29/2021,0.09%,0.08%,0.09%,0.09%
01/22/2021,0.09%,0.08%,0.10%,0.09%
01/15/2021,0.08%,0.08%,0.09%,0.09%
1/08/2021,0.10%,0.06%,0.10%,0.08%
12/31/2020,0.10%,0.10%,0.10%,0.10%
12/25/2020,0.09%,0.09%,0.10%,0.10%
12/18/2020,0.08%,0.08%,0.10%,0.09%
12/11/2020,0.09%,0.07%,0.14%,0.08%
12/04/2020,0.08%,0.08%,0.09%,0.09%
11/27/2020,0.11%,0.08%,0.11%,0.08%
11/20/2020,0.10%,0.10%,0.11%,0.11%
11/13/2020,0.09%,0.09%,0.10%,0.10%
11/06/2020,0.09%,0.08%,0.10%,0.09%
10/30/2020,0.09%,0.07%,0.09%,0.09%
10/23/2020,0.09%,0.08%,0.09%,0.09%
10/16/2020,0.14%,0.08%,0.14%,0.09%
10/09/2020,0.17%,0.14%,0.17%,0.14%
10/02/2020,0.14%,0.14%,0.19%,0.17%
09/25/2020,0.12%,0.10%,0.14%,0.14%
09/18/2020,0.12%,0.11%,0.12%,0.12%
9/11/2020,0.13%,0.11%,0.14%,0.12%
9/04/2020,0.12%,0.12%,0.13%,0.13%
08/28/2020,0.10%,0.08%,0.10%,0.09%
08/21/2020,0.08%,0.08%,0.10%,0.10%
08/14/2020,0.06%,0.05%,0.08%,0.08%
8/07/2020,0.08%,0.06%,0.08%,0.06%
07/31/2020,0.09%,0.08%,0.09%,0.08%
07/23/2020,0.08%,0.08%,0.09%,0.09%
07/17/2020,0.11%,0.08%,0.11%,0.08%
7/10/2020,0.09%,0.09%,0.11%,0.11%
7/03/2020,0.09%,0.07%,0.09%,0.09%
06/26/2020,0.13%,0.09%,0.13%,0.09%
06/19/2020,0.12%,0.11%,0.13%,0.13%
6/12/2020,0.11%,0.09%,0.12%,0.12%
6/05/2020,0.11%,0.09%,0.11%,0.11%
05/29/2020,0.13%,0.11%,0.13%,0.11%
05/22/2020,0.13%,0.12%,0.13%,0.13%
05/15/2020,0.15%,0.13%,0.15%,0.13%
5/08/2020,0.15%,0.12%,0.16%,0.15%
5/01/2020,0.17%,0.14%,0.17%,0.15%
04/24/2020,0.16%,0.15%,0.17%,0.17%
04/17/2020,0.16%,0.14%,0.16%,0.16%
4/10/2020,0.13%,0.12%,0.16%,0.16%
4/03/2020,0.20%,0.12%,0.23%,0.13%
03/27/2020,0.27%,0.19%,0.44%,0.20%
03/19/2020,0.30%,0.25%,0.33%,0.27%
03/13/2020,0.30%,0.29%,0.47%,0.30%
3/06/2020,0.17%,0.19%,0.35%,0.30%
02/28/2020,0.13%,0.12%,0.17%,0.17%
02/21/2020,0.13%,0.11%,0.13%,0.13%
02/14/2020,0.14%,0.13%,0.14%,0.13%
2/07/2020,0.13%,0.13%,0.15%,0.14%
01/31/2020,0.12%,0.11%,0.13%,0.13%
01/24/2020,0.12%,0.12%,0.13%,0.12%
01/17/2020,0.13%,0.11%,0.13%,0.12%
1/10/2020,0.10%,0.09%,0.13%,0.13%
1/02/2020,0.11%,0.10%,0.11%,0.10%
12/27/2019,0.15%,0.10%,0.15%,0.11%
12/20/2019,0.15%,0.14%,0.16%,0.15%
12/13/2019,0.13%,0.10%,0.16%,0.15%
12/06/2019,0.16%,0.13%,0.16%,0.13%
11/29/2019,0.25%,0.16%,0.25%,0.16%
11/22/2019,0.21%,0.21%,0.25%,0.25%
11/15/2019,0.21%,0.20%,0.21%,0.21%
11/08/2019,0.19%,0.16%,0.21%,0.21%
11/01/2019,0.22%,0.19%,0.22%,0.19%
10/25/2019,0.25%,0.20%,0.25%,0.22%
10/18/2019,0.34%,0.24%,0.34%,0.25%
10/11/2019,0.37%,0.34%,0.37%,0.34%
10/04/2019,0.14%,0.14%,0.39%,0.37%
09/27/2019,0.15%,0.14%,0.15%,0.14%
09/20/2019,0.14%,0.13%,0.15%,0.15%
09/13/2019,0.16%,0.14%,0.18%,0.14%
9/06/2019,0.15%,0.15%,0.17%,0.16%
08/30/2019,0.15%,0.15%,0.17%,0.16%
08/23/2019,0.13%,0.13%,0.16%,0.15%
08/16/2019,0.10%,0.10%,0.13%,0.13%
8/09/2019,0.09%,0.09%,0.11%,0.10%
8/02/2019,0.12%,0.09%,0.12%,0.09%
07/26/2019,0.13%,0.12%,0.13%,0.12%
07/19/2019,0.14%,0.13%,0.15%,0.13%
7/12/2019,0.11%,0.11%,0.14%,0.14%
7/05/2019,0.12%,0.10%,0.12%,0.11%
06/28/2019,0.12%,0.12%,0.13%,0.12%
06/21/2019,0.14%,0.12%,0.14%,0.12%
06/14/2019,0.13%,0.14%,0.15%,0.14%
6/07/2019,0.16%,0.13%,0.16%,0.13%
05/31/2019,0.15%,0.14%,0.16%,0.16%
05/24/2019,0.15%,0.14%,0.15%,0.15%
05/17/2019,0.17%,0.15%,0.17%,0.15%
5/10/2019,0.17%,0.15%,0.17%,0.17%
5/02/2019,0.17%,0.17%,0.17%,0.17%
04/26/2019,0.18%,0.14%,0.18%,0.17%
04/19/2019,0.19%,0.18%,0.19%,0.18%
4/12/2019,0.17%,0.16%,0.20%,0.20%
4/05/2019,0.17%,0.14%,0.17%,0.14%
03/29/2019,0.17%,0.16%,0.18%,0.17%
03/22/2019,0.14%,0.14%,0.19%,0.16%
03/15/2019,0.11%,0.11%,0.15%,0.14%
3/08/2019,0.16%,0.11%,0.16%,0.11%
3/01/2019,0.21%,0.17%,0.21%,0.18%
02/22/2019,0.20%,0.19%,0.21%,0.20%
02/15/2019,0.22%,0.21%,0.23%,0.22%
2/09/2019,0.26%,0.24%,0.27%,0.24%
2/01/2019,0.29%,0.24%,0.30%,0.26%
01/25/2019,0.20%,0.19%,0.20%,0.20%
01/18/2019,0.16%,0.16%,0.21%,0.21%
1/12/2019,0.18%,0.14%,0.19%,0.17%
1/04/2019,0.15%,0.14%,0.18%,0.18%
12/29/2018,0.17%,0.15%,0.17%,0.15%
12/22/2018,0.23%,0.23%,0.30%,0.23%
12/14/2018,0.18%,0.18%,0.25%,0.25%
12/07/2018,0.17%,0.16%,0.24%,0.19%
11/30/2018,0.29%,0.17%,0.29%,0.18%
11/23/2018,0.35%,0.30%,0.35%,0.30%
11/16/2018,0.23%,0.23%,0.25%,0.24%
11/09/2018,0.31%,0.28%,0.32%,0.28%
11/02/2018,0.31%,0.31%,0.32%,0.31%
10/26/2018,0.27%,0.27%,0.31%,0.31%
10/19/2018,0.29%,0.28%,0.29%,0.28%
10/12/2018,0.33%,0.30%,0.33%,0.31%
10/05/2018,0.23%,0.23%,0.28%,0.28%
09/28/2018,0.13%,0.13%,0.13%,0.13%
09/21/2018,0.12%,0.12%,0.13%,0.13%
09/14/2018,0.12%,0.12%,0.13%,0.12%
9/07/2018,0.13%,0.13%,0.15%,0.14%
08/31/2018,0.15%,0.15%,0.16%,0.16%
08/24/2018,0.15%,0.15%,0.16%,0.16%
08/17/2018,0.15%,0.15%,0.16%,0.15%
8/10/2018,0.16%,0.14%,0.17%,0.15%
8/03/2018,0.16%,0.15%,0.19%,0.17%
07/27/2018,0.15%,0.14%,0.16%,0.15%
07/20/2018,0.14%,0.14%,0.15%,0.15%
07/13/2018,0.14%,0.14%,0.14%,0.14%
7/06/2018,0.13%,0.12%,0.14%,0.14%
06/29/2018,0.13%,0.13%,0.14%,0.13%
06/22/2018,0.12%,0.11%,0.14%,0.14%
06/15/2018,0.12%,0.12%,0.13%,0.12%
6/08/2018,0.15%,0.12%,0.15%,0.12%
6/01/2018,0.14%,0.14%,0.15%,0.15%
05/25/2018,0.13%,0.13%,0.14%,0.14%
05/18/2018,0.12%,0.11%,0.13%,0.13%
5/11/2018,0.13%,0.11%,0.14%,0.12%
5/03/2018,0.14%,0.13%,0.14%,0.13%
04/27/2018,0.17%,0.14%,0.17%,0.14%
04/20/2018,0.18%,0.16%,0.18%,0.17%
04/13/2018,0.13%,0.13%,0.18%,0.18%
4/06/2018,0.15%,0.12%,0.15%,0.13%
03/30/2018,0.17%,0.15%,0.18%,0.15%
03/23/2018,0.16%,0.15%,0.17%,0.17%
03/16/2018,0.18%,0.14%,0.18%,0.16%
3/09/2018,0.20%,0.18%,0.20%,0.19%
3/02/2018,0.18%,0.18%,0.20%,0.20%
02/23/2018,0.17%,0.17%,0.19%,0.18%
02/16/2018,0.15%,0.15%,0.16%,0.16%
2/10/2018,0.16%,0.15%,0.16%,0.15%
2/02/2018,0.15%,0.15%,0.16%,0.16%
01/26/2018,0.15%,0.14%,0.16%,0.15%
01/19/2018,0.13%,0.13%,0.15%,0.15%
1/12/2018,0.13%,0.12%,0.14%,0.13%
1/06/2018,0.16%,0.14%,0.16%,0.14%
12/30/2017,0.19%,0.16%,0.20%,0.16%
12/22/2017,0.17%,0.17%,0.19%,0.19%
12/15/2017,0.16%,0.16%,0.17%,0.17%
12/08/2017,0.17%,0.14%,0.17%,0.16%
12/01/2017,0.25%,0.17%,0.25%,0.17%
11/24/2017,0.24%,0.23%,0.26%,0.25%
11/17/2017,0.23%,0.20%,0.24%,0.24%
11/10/2017,0.20%,0.20%,0.22%,0.22%
11/03/2017,0.20%,0.19%,0.20%,0.20%
10/27/2017,0.20%,0.18%,0.21%,0.20%
10/20/2017,0.18%,0.17%,0.21%,0.20%
10/13/2017,0.16%,0.16%,0.18%,0.18%
10/06/2017,0.17%,0.16%,0.17%,0.16%
09/29/2017,0.10%,0.10%,0.17%,0.17%
09/22/2017,0.12%,0.10%,0.13%,0.10%
09/15/2017,0.18%,0.11%,0.18%,0.12%
9/08/2017,0.20%,0.18%,0.20%,0.18%
9/01/2017,0.17%,0.17%,0.25%,0.23%
08/25/2017,0.13%,0.13%,0.17%,0.17%
08/18/2017,0.11%,0.11%,0.14%,0.14%
8/11/2017,0.11%,0.10%,0.11%,0.11%
8/04/2017,0.13%,0.11%,0.13%,0.11%
07/28/2017,0.12%,0.12%,0.13%,0.13%
07/21/2017,0.11%,0.10%,0.12%,0.12%
07/14/2017,0.09%,0.08%,0.11%,0.11%
7/07/2017,0.09%,0.08%,0.09%,0.09%
06/30/2017,0.09%,0.08%,0.10%,0.09%
06/23/2017,0.10%,0.09%,0.10%,0.09%
06/16/2017,0.10%,0.10%,0.11%,0.10%
6/09/2017,0.11%,0.09%,0.12%,0.10%
6/02/2017,0.12%,0.11%,0.13%,0.11%
05/26/2017,0.13%,0.12%,0.13%,0.12%
05/19/2017,0.13%,0.12%,0.13%,0.13%
5/12/2017,0.13%,0.12%,0.14%,0.13%
5/03/2017,0.14%,0.13%,0.14%,0.13%
04/28/2017,0.16%,0.13%,0.17%,0.14%
04/21/2017,0.10%,0.10%,0.16%,0.16%
04/14/2017,0.14%,0.10%,0.14%,0.11%
4/07/2017,0.19%,0.13%,0.20%,0.14%
03/31/2017,0.31%,0.19%,0.31%,0.19%
03/24/2017,0.33%,0.31%,0.34%,0.31%
03/18/2017,0.38%,0.32%,0.38%,0.33%
3/10/2017,0.40%,0.38%,0.41%,0.38%
3/03/2017,0.33%,0.31%,0.41%,0.40%
02/24/2017,0.26%,0.26%,0.33%,0.32%
02/17/2017,0.21%,0.21%,0.26%,0.26%
2/10/2017,0.28%,0.20%,0.28%,0.21%
2/03/2017,0.28%,0.28%,0.29%,0.29%
01/27/2017,0.30%,0.26%,0.31%,0.28%
01/20/2017,0.26%,0.26%,0.30%,0.30%
01/13/2017,0.35%,0.26%,0.35%,0.26%
1/07/2017,0.39%,0.35%,0.39%,0.35%
12/30/2016,0.44%,0.39%,0.45%,0.39%
12/23/2016,0.40%,0.39%,0.45%,0.44%
12/16/2016,0.44%,0.39%,0.44%,0.40%
12/09/2016,0.39%,0.38%,0.44%,0.44%
12/02/2016,0.29%,0.29%,0.39%,0.39%
11/25/2016,0.28%,0.28%,0.30%,0.30%
11/18/2016,0.27%,0.27%,0.28%,0.28%
11/11/2016,0.28%,0.27%,0.29%,0.27%
11/04/2016,0.26%,0.26%,0.28%,0.28%
10/28/2016,0.30%,0.25%,0.31%,0.26%
10/21/2016,0.29%,0.28%,0.32%,0.30%
10/14/2016,0.31%,0.28%,0.31%,0.29%
10/07/2016,0.39%,0.31%,0.40%,0.31%
09/30/2016,0.34%,0.33%,0.39%,0.39%
09/23/2016,0.36%,0.34%,0.37%,0.34%
09/17/2016,0.29%,0.29%,0.36%,0.36%
9/09/2016,0.27%,0.27%,0.29%,0.29%
9/02/2016,0.24%,0.24%,0.27%,0.27%
08/26/2016,0.23%,0.23%,0.24%,0.24%
08/19/2016,0.22%,0.22%,0.23%,0.23%
8/12/2016,0.23%,0.22%,0.23%,0.22%
8/05/2016,0.27%,0.22%,0.27%,0.22%
07/29/2016,0.27%,0.26%,0.30%,0.27%
07/22/2016,0.28%,0.26%,0.28%,0.27%
07/16/2016,0.31%,0.27%,0.31%,0.28%
7/08/2016,0.32%,0.30%,0.33%,0.31%
7/01/2016,0.26%,0.26%,0.33%,0.32%
06/24/2016,0.25%,0.24%,0.26%,0.26%
06/17/2016,0.26%,0.25%,0.27%,0.25%
6/10/2016,0.25%,0.25%,0.26%,0.26%
6/03/2016,0.28%,0.25%,0.28%,0.25%
05/27/2016,0.26%,0.25%,0.28%,0.28%
05/20/2016,0.26%,0.25%,0.26%,0.26%
05/13/2016,0.28%,0.23%,0.28%,0.26%
5/06/2016,0.28%,0.28%,0.28%,0.28%
04/28/2016,0.30%,0.26%,0.31%,0.28%
04/22/2016,0.18%,0.18%,0.90%,0.30%
04/15/2016,0.47%,0.18%,0.48%,0.18%
4/08/2016,0.11%,0.09%,0.50%,0.47%
4/01/2016,0.11%,0.11%,0.12%,0.11%
03/25/2016,0.11%,0.10%,0.12%,0.12%
03/18/2016,0.08%,0.08%,0.11%,0.11%
3/11/2016,0.09%,0.07%,0.10%,0.08%
3/04/2016,0.09%,0.09%,0.10%,0.09%
02/26/2016,0.10%,0.09%,0.12%,0.09%
02/19/2016,0.11%,0.10%,0.12%,0.10%
2/12/2016,0.16%,0.11%,0.16%,0.11%
2/05/2016,0.10%,0.10%,0.20%,0.17%
01/29/2016,0.03%,0.02%,0.10%,0.10%
01/22/2016,0.02%,0.01%,0.03%,0.03%
01/15/2016,0.02%,0.02%,0.02%,0.02%
1/08/2016,0.04%,0.02%,0.04%,0.02%
12/31/2015,0.03%,0.03%,0.04%,0.04%
12/25/2015,0.01%,0.01%,0.03%,0.03%
12/18/2015,0.01%,0.01%,0.02%,0.01%
12/11/2015,0.07%,0.01%,0.07%,0.01%
12/04/2015,0.05%,0.04%,0.07%,0.07%
11/27/2015,0.10%,0.04%,0.10%,0.04%
11/20/2015,0.03%,0.03%,0.11%,0.10%
11/13/2015,0.00%,0.00%,0.03%,0.03%
11/06/2015,0.01%,0.01%,0.00%,0.00%
10/30/2015,0.00%,0.01%,0.00%,0.00%
10/23/2015,0.01%,0.00%,0.01%,0.00%
10/16/2015,0.00%,0.00%,0.01%,0.01%
10/09/2015,0.02%,0.00%,0.02%,0.00%
10/02/2015,0.03%,0.01%,0.03%,0.02%
09/25/2015,0.01%,0.01%,0.03%,0.03%
09/18/2015,0.00%,0.00%,0.01%,0.01%
9/11/2015,0.01%,0.01%,0.00%,0.00%
9/04/2015,0.00%,0.01%,0.00%,0.00%
08/28/2015,0.01%,0.00%,0.01%,0.00%
08/21/2015,0.00%,0.00%,0.01%,0.01%
08/14/2015,0.00%,0.00%,0.01%,0.00%
8/07/2015,0.01%,0.00%,0.01%,0.00%
07/31/2015,0.00%,0.01%,0.01%,0.01%
07/24/2015,0.07%,0.01%,0.07%,0.00%
07/17/2015,0.07%,0.07%,0.07%,0.07%
7/10/2015,0.00%,0.00%,0.00%,0.00%
7/03/2015,0.00%,0.01%,0.00%,0.00%
06/26/2015,0.01%,0.01%,0.00%,0.01%
06/19/2015,0.00%,0.01%,0.00%,0.01%
6/12/2015,0.01%,0.01%,0.00%,0.00%
6/05/2015,0.01%,0.01%,0.00%,0.01%
05/29/2015,0.01%,0.01%,0.00%,0.01%
05/22/2015,0.01%,0.01%,0.00%,0.01%
05/15/2015,0.00%,0.01%,0.00%,0.00%
5/08/2015,0.01%,0.01%,0.02%,0.01%
5/01/2015,0.01%,0.01%,0.01%,0.01%
04/24/2015,0.01%,0.01%,0.02%,0.01%
04/17/2015,0.01%,0.00%,0.01%,0.01%
4/10/2015,0.01%,0.01%,0.01%,0.01%
4/03/2015,0.01%,0.02%,0.01%,0.01%
03/27/2015,0.00%,0.02%,0.00%,0.02%
03/20/2015,0.01%,0.00%,0.01%,0.00%
03/13/2015,0.01%,0.00%,0.01%,0.01%
3/06/2015,0.01%,0.01%,0.01%,0.00%
02/27/2015,0.01%,0.01%,0.01%,0.01%
02/20/2015,0.01%,0.01%,0.01%,0.01%
02/13/2015,0.05%,0.05%,0.05%,0.05%
2/06/2015,0.01%,0.02%,0.01%,0.00%
01/30/2015,0.01%,0.01%,0.01%,0.01%
01/23/2015,0.04%,0.01%,0.04%,0.01%
01/16/2015,0.03%,0.01%,0.05%,0.02%
1/09/2015,0.02%,0.02%,0.01%,0.01%
12/30/2014,0.02%,0.02%,0.02%,0.02%
12/26/2014,0.01%,0.02%,0.01%,0.02%
12/19/2014,0.01%,0.02%,0.01%,0.02%
12/12/2014,0.02%,0.02%,0.01%,0.01%
12/05/2014,0.03%,0.02%,0.04%,0.02%
11/28/2014,0.01%,0.01%,0.03%,0.03%
11/21/2014,0.04%,0.01%,0.06%,0.01%
11/14/2014,0.02%,0.03%,0.04%,0.04%
11/07/2014,0.01%,0.04%,0.01%,0.03%
10/31/2014,0.03%,0.03%,0.02%,0.02%
10/24/2014,0.01%,0.01%,0.05%,0.01%
10/17/2014,0.03%,0.03%,0.01%,0.01%
10/10/2014,0.01%,0.02%,0.01%,0.02%
10/03/2014,0.02%,0.04%,0.01%,0.01%
09/26/2014,0.01%,0.02%,0.00%,0.02%
09/19/2014,0.01%,0.01%,0.01%,0.01%
9/12/2014,0.01%,0.01%,0.01%,0.01%
9/05/2014,0.03%,0.04%,0.01%,0.04%
08/29/2014,0.04%,0.05%,0.04%,0.04%
08/22/2014,0.03%,0.05%,0.03%,0.04%
08/15/2014,0.03%,0.03%,0.02%,0.03%
8/08/2014,0.06%,0.06%,0.02%,0.03%
8/01/2014,0.04%,0.05%,0.04%,0.04%
07/25/2014,0.04%,0.04%,0.03%,0.03%
07/18/2014,0.02%,0.05%,0.02%,0.04%
7/11/2014,0.03%,0.03%,0.03%,0.03%
7/04/2014,0.06%,0.07%,0.03%,0.03%
06/27/2014,0.06%,0.06%,0.03%,0.05%
06/20/2014,0.07%,0.07%,0.04%,0.05%
06/13/2014,0.06%,0.07%,0.05%,0.06%
6/06/2014,0.06%,0.06%,0.05%,0.06%
05/30/2014,0.06%,0.06%,0.06%,0.06%
05/23/2014,0.06%,0.07%,0.04%,0.07%
05/16/2014,0.06%,0.06%,0.05%,0.05%
5/09/2014,0.07%,0.08%,0.06%,0.08%
5/02/2014,0.09%,0.09%,0.07%,0.07%
04/25/2014,0.08%,0.08%,0.07%,0.08%
04/18/2014,0.06%,0.08%,0.06%,0.07%
4/11/2014,0.07%,0.07%,0.05%,0.07%
4/04/2014,0.04%,0.07%,0.03%,0.06%
03/28/2014,0.05%,0.05%,0.03%,0.03%
03/21/2014,0.05%,0.05%,0.03%,0.05%
03/14/2014,0.04%,0.06%,0.02%,0.04%
3/07/2014,0.05%,0.06%,0.05%,0.06%
02/28/2014,0.06%,0.07%,0.06%,0.06%
02/21/2014,0.05%,0.07%,0.05%,0.07%
02/14/2014,0.06%,0.06%,0.05%,0.06%
2/07/2014,0.06%,0.07%,0.05%,0.07%
01/31/2014,0.07%,0.07%,0.05%,0.07%
01/24/2014,0.06%,0.08%,0.06%,0.07%
01/17/2014,0.07%,0.08%,0.07%,0.08%
1/10/2014,0.08%,0.08%,0.06%,0.08%
1/03/2014,0.07%,0.07%,0.07%,0.07%
12/27/2013,0.08%,0.08%,0.07%,0.07%
12/20/2013,0.06%,0.08%,0.06%,0.08%
12/13/2013,0.06%,0.08%,0.06%,0.08%
12/06/2013,0.07%,0.07%,0.06%,0.07%
11/29/2013,0.06%,0.07%,0.05%,0.05%
11/22/2013,0.07%,0.08%,0.07%,0.07%
11/15/2013,0.07%,0.08%,0.06%,0.06%
11/08/2013,0.08%,0.09%,0.06%,0.06%
11/01/2013,0.09%,0.09%,0.08%,0.09%
10/25/2013,0.08%,0.10%,0.08%,0.10%
10/18/2013,0.08%,0.08%,0.06%,0.08%
10/11/2013,0.06%,0.08%,0.06%,0.08%
