Date,Open,High,Low,Close,Adj Close,Volume
1/01/2013,0.00411,0.00419,0.00411,0.00419,0.00419,0
8/01/2013,0.00414,0.00425,0.00413,0.00425,0.00425,0
15/01/2013,0.00421,0.00425,0.00416,0.00425,0.00425,0
22/01/2013,0.00419,0.00431,0.00418,0.00431,0.00431,0
29/01/2013,0.00428,0.0044,0.00428,0.0044,0.0044,0
5/02/2013,0.00441,0.00444,0.00437,0.00437,0.00437,0
12/02/2013,0.00445,0.00445,0.00438,0.00444,0.00444,0
19/02/2013,0.00442,0.00443,0.00435,0.00441,0.00441,0
26/02/2013,0.00434,0.00443,0.00432,0.00441,0.00441,0
5/03/2013,0.00438,0.00453,0.00438,0.00448,0.00448,0
12/03/2013,0.00452,0.00454,0.00447,0.00449,0.00449,0
19/03/2013,0.00449,0.00449,0.00446,0.00446,0.00446,0
26/03/2013,0.00443,0.00444,0.00443,0.00443,0.00443,0
2/04/2013,0.00439,0.00465,0.00439,0.00453,0.00453,0
9/04/2013,0.00467,0.00471,0.00461,0.00467,0.00467,0
16/04/2013,0.00461,0.0047,0.00461,0.00468,0.00468,0
23/04/2013,0.00465,0.00469,0.00463,0.00465,0.00465,0
30/04/2013,0.00461,0.00467,0.00459,0.00466,0.00466,0
7/05/2013,0.00467,0.00479,0.00464,0.00478,0.00478,0
14/05/2013,0.00478,0.00484,0.00478,0.00484,0.00484,0
21/05/2013,0.00484,0.00486,0.00473,0.00475,0.00475,0
28/05/2013,0.00479,0.00479,0.00471,0.00472,0.00472,0
4/06/2013,0.00469,0.00469,0.00448,0.00461,0.00461,0
11/06/2013,0.00448,0.00465,0.00442,0.00443,0.00443,0
18/06/2013,0.00447,0.00459,0.00446,0.00456,0.00456,0
25/06/2013,0.00456,0.00464,0.00456,0.00459,0.00459,0
2/07/2013,0.00465,0.0047,0.00463,0.00468,0.00468,0
9/07/2013,0.00469,0.0047,0.00461,0.00462,0.00462,0
16/07/2013,0.00465,0.00469,0.00462,0.00469,0.00469,0
23/07/2013,0.00464,0.00465,0.00454,0.00457,0.00457,0
30/07/2013,0.00456,0.00466,0.00455,0.00464,0.00464,0
6/08/2013,0.00458,0.00458,0.0045,0.00449,0.00449,0
13/08/2013,0.00458,0.00459,0.00455,0.00456,0.00456,0
20/08/2013,0.00454,0.00461,0.00454,0.00461,0.00461,0
27/08/2013,0.00455,0.00463,0.00453,0.00457,0.00457,0
3/09/2013,0.00464,0.00465,0.00463,0.00468,0.00468,0
10/09/2013,0.00468,0.00469,0.00462,0.00465,0.00465,0
17/09/2013,0.00463,0.00465,0.00461,0.00464,0.00464,0
24/09/2013,0.00461,0.00461,0.00456,0.0046,0.0046,0
