Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,10604.500000,10743.690430,10589.700195,10599.009766,10599.009766,406700000
2013-01-08,10544.209961,10830.429688,10398.610352,10801.570313,10801.570313,931500000
2013-01-15,10914.650391,10952.309570,10432.969727,10747.740234,10747.740234,1203600000
2013-01-22,10765.099609,11002.860352,10441.110352,10824.309570,10824.309570,1077000000
2013-01-29,10751.009766,11285.490234,10751.009766,11260.349609,11260.349609,1349300000
2013-02-05,11105.240234,11498.419922,11046.919922,11153.160156,11153.160156,1471000000
2013-02-12,11346.719727,11460.639648,11065.059570,11407.870117,11407.870117,1441100000
2013-02-19,11336.450195,11662.519531,11175.669922,11662.519531,11662.519531,1077000000
2013-02-26,11449.660156,11767.679688,11253.969727,11652.290039,11652.290039,1073800000
2013-03-05,11732.570313,12403.950195,11666.379883,12349.049805,12349.049805,1312700000
2013-03-12,12433.599609,12560.950195,12220.629883,12220.629883,12220.629883,1120800000
2013-03-19,12405.610352,12650.259766,12338.530273,12546.459961,12546.459961,696400000
2013-03-26,12461.790039,12540.120117,12133.000000,12135.019531,12135.019531,924700000
2013-04-02,12051.570313,13225.620117,11805.780273,13192.589844,13192.589844,1610400000
2013-04-09,13309.129883,13568.250000,13151.730469,13275.660156,13275.660156,1688900000
2013-04-16,13023.910156,13611.580078,13004.459961,13568.370117,13568.370117,1386200000
2013-04-23,13545.599609,13983.870117,13505.530273,13884.129883,13884.129883,1090400000
2013-04-30,13854.820313,13897.059570,13637.959961,13694.040039,13694.040039,602800000
2013-05-07,13960.040039,14849.009766,13951.809570,14782.209961,14782.209961,1437800000
2013-05-14,14822.559570,15381.740234,14755.080078,15360.809570,15360.809570,1797400000
2013-05-21,15264.790039,15942.599609,13981.519531,14142.650391,14142.650391,2354700000
2013-05-28,13943.620117,14512.280273,13261.820313,13261.820313,13261.820313,1517700000
2013-06-04,13186.599609,13711.419922,12548.200195,13514.200195,13514.200195,1561900000
2013-06-11,13504.769531,13584.309570,12415.849609,13033.120117,13033.120117,1156700000
2013-06-18,13015.150391,13426.129883,12702.669922,13062.780273,13062.780273,964800000
2013-06-25,13081.620117,13862.709961,12758.219727,13852.500000,13852.500000,961700000
2013-07-02,13969.150391,14497.650391,13898.540039,14109.339844,14109.339844,958200000
2013-07-09,14295.440430,14574.169922,14186.030273,14506.250000,14506.250000,728200000
2013-07-16,14594.879883,14953.290039,14413.280273,14658.040039,14658.040039,1072000000
2013-07-23,14555.360352,14820.179688,13661.129883,13661.129883,13661.129883,845100000
2013-07-30,13634.200195,14466.160156,13613.780273,14258.040039,14258.040039,893200000
2013-08-06,14237.099609,14401.059570,13430.639648,13519.429688,13519.429688,777000000
2013-08-13,13696.360352,14050.160156,13532.610352,13758.129883,13758.129883,643000000
2013-08-20,13632.959961,13774.660156,13238.730469,13636.280273,13636.280273,687800000
2013-08-27,13551.750000,13678.790039,13188.139648,13572.919922,13572.919922,640300000
2013-09-03,13748.679688,14251.459961,13748.679688,14205.230469,14205.230469,760800000
2013-09-10,14318.719727,14561.459961,14233.120117,14404.669922,14404.669922,679000000
2013-09-17,14456.990234,14816.650391,14311.669922,14742.419922,14742.419922,614300000
2013-09-24,14626.040039,14817.500000,14410.519531,14455.799805,14455.799805,741900000
2013-10-01,14517.980469,14642.969727,13841.929688,13853.320313,13853.320313,763200000
2013-10-08,13794.740234,14447.870117,13748.940430,14404.740234,14404.740234,638900000
2013-10-15,14510.269531,14727.849609,14415.759766,14693.570313,14693.570313,596600000
2013-10-22,14677.080078,14799.280273,14088.190430,14396.040039,14396.040039,646100000
2013-10-29,14288.719727,14526.879883,14126.410156,14201.570313,14201.570313,621600000
2013-11-05,14319.750000,14407.690430,14026.169922,14269.839844,14269.839844,652200000
2013-11-12,14289.870117,15273.610352,14278.209961,15164.299805,15164.299805,910600000
2013-11-19,15096.629883,15619.129883,15020.330078,15619.129883,15619.129883,828600000
2013-11-26,15501.950195,15729.089844,15414.519531,15655.070313,15655.070313,756900000
2013-12-03,15747.540039,15794.150391,15112.540039,15650.209961,15650.209961,749100000
2013-12-10,15633.969727,15633.969727,15146.129883,15152.910156,15152.910156,774500000
2013-12-17,15290.219727,15891.820313,15248.419922,15870.419922,15870.419922,650900000
2013-12-24,15955.900391,16320.219727,15849.000000,16291.309570,16291.309570,833300000
2013-12-31,16147.540039,16164.009766,15864.440430,15908.879883,15908.879883,192700000
2014-01-07,15835.410156,16121.450195,15754.700195,15912.059570,15912.059570,827500000
2014-01-14,15657.200195,15941.080078,15383.690430,15641.679688,15641.679688,936800000
2014-01-21,15710.889648,15958.580078,14933.549805,15005.730469,15005.730469,991400000
2014-01-28,15038.639648,15383.910156,14615.049805,14619.129883,14619.129883,989300000
2014-02-04,14353.330078,14725.919922,13995.860352,14718.339844,14718.339844,1103300000
2014-02-11,14821.730469,14874.790039,14214.599609,14393.110352,14393.110352,666700000
2014-02-18,14514.469727,14982.530273,14428.730469,14837.679688,14837.679688,830600000
2014-02-25,15002.509766,15094.540039,14443.099609,14652.230469,14652.230469,733800000
2014-03-04,14553.950195,15312.599609,14546.339844,15120.139648,15120.139648,669200000
2014-03-11,15179.469727,15256.030273,14203.209961,14277.669922,14277.669922,750700000
2014-03-18,14491.410156,14663.540039,14207.830078,14475.299805,14475.299805,622500000
2014-03-25,14401.690430,14843.669922,14227.809570,14827.830078,14827.830078,822500000
2014-04-01,14870.509766,15164.389648,14751.290039,14808.849609,14808.849609,645900000
2014-04-08,14715.799805,14740.099609,13885.110352,13910.160156,13910.160156,717500000
2014-04-15,14068.750000,14649.500000,13969.169922,14512.379883,14512.379883,565800000
2014-04-22,14586.290039,14604.299805,14224.469727,14288.230469,14288.230469,521200000
2014-04-29,14393.509766,14493.030273,14275.690430,14457.509766,14457.509766,362900000
2014-05-06,14296.250000,14299.129883,14033.450195,14149.519531,14149.519531,500700000
2014-05-13,14367.940430,14464.009766,13991.799805,14006.440430,14006.440430,620500000
2014-05-20,14088.450195,14602.519531,13964.429688,14602.519531,14602.519531,654400000
2014-05-27,14589.790039,14963.910156,14574.019531,14935.919922,14935.919922,677400000
2014-06-03,15089.040039,15206.570313,14985.209961,15124.000000,15124.000000,647900000
2014-06-10,15130.740234,15184.769531,14830.990234,14933.290039,14933.290039,641400000
2014-06-17,14962.990234,15442.669922,14948.540039,15369.280273,15369.280273,725900000
2014-06-24,15300.500000,15424.570313,15027.309570,15162.099609,15162.099609,569500000
2014-07-01,15179.639648,15490.370117,15145.870117,15379.440430,15379.440430,561300000
2014-07-08,15304.269531,15389.889648,15101.490234,15296.820313,15296.820313,568800000
2014-07-15,15354.429688,15465.740234,15110.450195,15215.709961,15215.709961,393900000
2014-07-22,15296.419922,15556.620117,15232.139648,15529.400391,15529.400391,573000000
2014-07-29,15564.790039,15759.660156,15440.209961,15474.500000,15474.500000,637300000
2014-08-05,15506.870117,15507.320313,14753.839844,15130.519531,15130.519531,701900000
2014-08-12,15164.730469,15365.349609,15108.530273,15322.599609,15322.599609,444300000
2014-08-19,15451.940430,15628.780273,15429.110352,15613.250000,15613.250000,488800000
2014-08-26,15609.639648,15613.339844,15356.000000,15476.599609,15476.599609,473700000
2014-09-02,15526.940430,15829.379883,15516.500000,15705.110352,15705.110352,576500000
2014-09-09,15795.820313,15984.900391,15664.790039,15948.290039,15948.290039,529500000
2014-09-16,15896.059570,16364.080078,15871.120117,16205.900391,16205.900391,679500000
2014-09-23,16105.559570,16374.139648,16087.950195,16310.639648,16310.639648,517300000
2014-09-30,16252.719727,16252.719727,15559.070313,15890.950195,15890.950195,732300000
2014-10-07,15841.169922,15913.519531,15221.830078,15300.549805,15300.549805,612100000
2014-10-14,15036.870117,15111.230469,14529.030273,15111.230469,15111.230469,878300000
2014-10-21,15115.290039,15424.049805,14761.839844,15388.719727,15388.719727,642800000
2014-10-28,15363.280273,16533.910156,15263.360352,16413.759766,16413.759766,723700000
2014-11-04,16732.849609,17127.660156,16713.369141,16780.529297,16780.529297,1045700000
2014-11-11,16869.490234,17520.539063,16855.300781,16973.800781,16973.800781,895900000
2014-11-18,17188.839844,17472.570313,17108.199219,17357.509766,17357.509766,628500000
2014-11-25,17490.390625,17649.019531,17212.480469,17590.099609,17590.099609,711200000
2014-12-02,17481.060547,18030.830078,17476.419922,17935.640625,17935.640625,689700000
2014-12-09,17820.240234,17892.160156,17037.210938,17099.400391,17099.400391,822300000
2014-12-16,16862.419922,17692.580078,16672.939453,17635.140625,17635.140625,812200000
2014-12-23,17842.039063,17914.550781,17525.660156,17729.839844,17729.839844,414500000
2014-12-30,17702.119141,17713.759766,17219.220703,17408.710938,17408.710938,214800000
2015-01-06,17101.580078,17342.650391,16808.259766,17197.730469,17197.730469,600400000
2015-01-13,16970.880859,17141.980469,16592.570313,17014.289063,17014.289063,744500000
2015-01-20,17071.650391,17532.060547,17066.769531,17468.519531,17468.519531,635000000
2015-01-27,17649.400391,17850.589844,17459.449219,17558.039063,17558.039063,731100000
2015-02-03,17654.599609,17799.490234,17271.869141,17711.929688,17711.929688,813600000
2015-02-10,17662.669922,18074.259766,17550.029297,18004.769531,18004.769531,619700000
2015-02-17,17949.699219,18509.080078,17901.259766,18466.919922,18466.919922,791600000
